"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Autenticação","Login","US002 - Login","0","0","1","0","0"
"","Transferência bancária","US003 - Transferência entre contas","0","0","1","0","0"
"Autenticação","Registro","US001 - Cadastro","0","0","1","0","0"
